"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";7;"MountingHole_2.2mm_M2";;;
2;"C1,C2,C3,C4,C5,C6";"C_Disc_D4.3mm_W1.9mm_P5.00mm";6;"0.1u";;;
3;"J3";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05_Female";;;
4;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";12;"10k";;;
5;"U1";"DIP-14_W7.62mm_Socket";1;"74HC14";;;
6;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical";1;"25k";;;
7;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles";1;"Rotary_Encoder_Switch";;;
8;"SW2,SW4";"SW_PUSH_6mm_H5mm";2;"SW_Push";;;
9;"SW3";"PinSocket_1x02_P2.54mm_Vertical";1;"SW_Push";;;
10;"SW5";"PinSocket_1x03_P2.54mm_Vertical";1;"SW_SPDT";;;
11;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Female";;;
12;"R13,R14,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"0";;;
13;"R18,R19,R20,R21,R22";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"0";;;
14;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"0";;;
15;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";1;"0";;;
16;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
